bibtype	author	title	booktitle	month	year	address	publisher	pages	url	note
book		Technologies for MT of Low Resource Languages Workshop (LoResMT 2018) 	Proceedings of the AMTA 2018 Workshop on Technologies for MT of Low Resource Languages (LoResMT 2018) 	March	2018	Boston, MA	Association for Machine Translation in the Americas		http://www.aclweb.org/anthology/W18-2200	Entire Volume
inproceedings	John E. Ortega; Krishnan Pillaipakkamnatt	Using Morphemes from Agglutinative Languages like Quechua and Finnish to Aid in Low-Resource Translation	Proceedings of the AMTA 2018 Workshop on Technologies for MT of Low Resource Languages (LoResMT 2018) 	March	2018	Boston, MA	Association for Machine Translation in the Americas	1--11	http://www.aclweb.org/anthology/W18-2201	
inproceedings	Meghan Dowling; Teresa Lynn; Alberto Poncelas; Andy Way	SMT versus NMT: Preliminary comparisons for Irish	Proceedings of the AMTA 2018 Workshop on Technologies for MT of Low Resource Languages (LoResMT 2018) 	March	2018	Boston, MA	Association for Machine Translation in the Americas	12--20	http://www.aclweb.org/anthology/W18-2202	
inproceedings	Wen Lai; Xiaobing Zhao; Wei Bao	Tibetan-Chinese Neural Machine Translation based on Syllable Segmentation	Proceedings of the AMTA 2018 Workshop on Technologies for MT of Low Resource Languages (LoResMT 2018) 	March	2018	Boston, MA	Association for Machine Translation in the Americas	21--29	http://www.aclweb.org/anthology/W18-2203	
inproceedings	Nathaniel Oco; Rachel Edita Roxas	A Survey of Machine Translation Work in the Philippines: From 1998 to 2018	Proceedings of the AMTA 2018 Workshop on Technologies for MT of Low Resource Languages (LoResMT 2018) 	March	2018	Boston, MA	Association for Machine Translation in the Americas	30--36	http://www.aclweb.org/anthology/W18-2204	
inproceedings	Ivan Skorokhodov; Anton Rykachevskiy; Dmitry Emelyanenko; Sergey Slotin; Anton Ponkratov	Semi-Supervised Neural Machine Translation with Language Models	Proceedings of the AMTA 2018 Workshop on Technologies for MT of Low Resource Languages (LoResMT 2018) 	March	2018	Boston, MA	Association for Machine Translation in the Americas	37--44	http://www.aclweb.org/anthology/W18-2205	
inproceedings	Ilya Gusev; Artem Oboturov	System Description of Supervised and Unsupervised Neural Machine Translation Approaches from “NL Processing” Team at DeepHack.Babel Task	Proceedings of the AMTA 2018 Workshop on Technologies for MT of Low Resource Languages (LoResMT 2018) 	March	2018	Boston, MA	Association for Machine Translation in the Americas	45--52	http://www.aclweb.org/anthology/W18-2206	
inproceedings	Sushain Cherivirala; Shardul Chiplunkar; Jonathan North Washington; Kevin Brubeck Unhammer	Apertium’s Web Toolchain for Low-Resource Language Technology	Proceedings of the AMTA 2018 Workshop on Technologies for MT of Low Resource Languages (LoResMT 2018) 	March	2018	Boston, MA	Association for Machine Translation in the Americas	53--62	http://www.aclweb.org/anthology/W18-2207	
