author	title	booktitle	month	year	address	publisher	pages	url	note
	The Role of Authoritative Standards in the MT Environment	Proceedings of the AMTA 2018 Workshop on The Role of Authoritative Standards in the MT Environment	March	2018	Boston, MA	Association for Machine Translation in the Americas		http://www.aclweb.org/anthology/W18-20	Entire Volume
	Front Matter	Proceedings of the AMTA 2018 Workshop on The Role of Authoritative Standards in the MT Environment	March	2018	Boston, MA	Association for Machine Translation in the Americas		http://www.aclweb.org/anthology/W18-2000	Front Matter
Jennifer DeCamp  	Language Codes	Proceedings of the AMTA 2018 Workshop on The Role of Authoritative Standards in the MT Environment	March	2018	Boston, MA	Association for Machine Translation in the Americas	1--24	http://www.aclweb.org/anthology/W18-2001	
Sue Ellen Wright 	Termbase Exchange (TBX)	Proceedings of the AMTA 2018 Workshop on The Role of Authoritative Standards in the MT Environment	March	2018	Boston, MA	Association for Machine Translation in the Americas	25--47	http://www.aclweb.org/anthology/W18-2002	
David Filip 	XLIFF 2	Proceedings of the AMTA 2018 Workshop on The Role of Authoritative Standards in the MT Environment	March	2018	Boston, MA	Association for Machine Translation in the Americas	48--55	http://www.aclweb.org/anthology/W18-2003	
Bill Rivers 	Translation Quality Standards	Proceedings of the AMTA 2018 Workshop on The Role of Authoritative Standards in the MT Environment	March	2018	Boston, MA	Association for Machine Translation in the Americas	56--68	http://www.aclweb.org/anthology/W18-2004	
Arle Lommel 	Translation Quality Metrics	Proceedings of the AMTA 2018 Workshop on The Role of Authoritative Standards in the MT Environment	March	2018	Boston, MA	Association for Machine Translation in the Americas	69--94	http://www.aclweb.org/anthology/W18-2005	
Alan Melby 	Translation API Cases and Classes (TAPICC)	Proceedings of the AMTA 2018 Workshop on The Role of Authoritative Standards in the MT Environment	March	2018	Boston, MA	Association for Machine Translation in the Americas	95--112	http://www.aclweb.org/anthology/W18-2006	
